在街上 / 街の上で,,tt11952444
千寻小姐 / ちひろさん,,tt21825858
忍者刺客 / Ninja Assassin,,tt1186367
黑暗侵袭2 / The Descent: Part 2,,tt1073105
失踪 / さがす,,tt15482370
新狼人传说 / The Cursed,,tt9907782
回首尔 / Retour à Séoul,,tt19719836
抓住稻草的野兽 / 지푸라기라도 잡고 싶은 짐승들,,tt9747594
极限职业 / 극한직업,,tt9541602
杀死福顺 / 길복순,,tt16900880
黑帮老妈 / Mafia Mamma,,tt13923456
驱魔 / The Exorcism of Emily Rose,,tt0404032
不止不休,,tt11564218
疾速追杀4 / John Wick: Chapter 4,,tt10366206
好孩子,,
情人 / L'amant,,tt0101316
江湖告急,,tt0266703
抱歉打扰 / Sorry to Bother You,,tt5688932
失乐园 / 失楽園,,tt0120120
立春,,tt1214973
爱在别乡的季节 / 愛在別鄉的季節,,tt0099000
"纽约，我爱你 / New York, I Love You",,tt0808399
第一诫,,tt0918561
"黄金三镖客 / Il buono, il brutto, il cattivo",,tt0060196
最爱,,tt1664704
海角七号 / 海角七號,,tt1267160
等着你 / 널 기다리며,,tt5545862
孔雀,,tt0445506
暴力史 / A History of Violence,,tt0399146
鲸 / The Whale,,tt13833688
男亲女爱 / 男親女愛,,tt10384720
子弹列车 / Bullet Train,,tt12593682
一本漫画闯天涯 / 一本漫畫闖天涯,,tt0100983
跛豪,,tt0101490
东京爱情故事 / 東京ラブストーリー,,tt0206518
半泽直树 / 半沢直樹,,tt2930136
皮囊之下 / Under the Skin,,tt1441395
隐入尘烟,,tt17097088
手机,,tt0399650
晚安妈咪 / Goodnight Mommy,,tt9000184
沸点 / Boiling Point,,tt11127680
卡拉是条狗,,tt0366655
暖,,tt0390311
心急吃不了热豆腐,,tt0470610
过年,,tt0206313
狼犬丹尼 / Unleashed,,tt0342258
龙年 / Year of the Dragon,,tt0090350
我是谁 / 我是誰,,tt0127357
穆赫兰道 / Mulholland Dr.,,tt0166924
无间道3：终极无间 / 無間道III 終極無間,,tt0374339
恐怖分子 / 恐怖份子,,tt0091355
手卷烟 / 手捲煙,,tt13210170
不见不散,,tt0199354
智齿 / 智齒,,tt14032696
日班猎人 / Day Shift,,tt13314558
没事偷着乐,,tt0269537
无人区,,tt1456660
顽主,,tt0276615
风平浪静,,tt11306684
长安道,,tt11203678
热带往事,,tt8519380
大腕,,tt0287934
天地英雄,,tt0374330
天注定,,tt2852400
目击者之追凶 / 目擊者,,tt5576318
天生杀人狂 / Natural Born Killers,,tt0110632
牯岭街少年杀人事件 / 牯嶺街少年殺人事件,5,tt0101985
杀出个黄昏 / 殺出個黃昏,,tt14713814
监视者 / Watcher,,tt12004038
恐怖杀人医院 / Sublime,,tt0822858
了不起的盖茨比 / The Great Gatsby,,tt1343092
新龙门客栈 / 新龍門客棧,,tt0105859
X战警：第一战 / X-Men: First Class,,tt1270798
金刚狼 / X-Men Origins: Wolverine,,tt0458525
超凡蜘蛛侠 / The Amazing Spider-Man,,tt0948470
蜘蛛侠3 / Spider-Man 3,,tt0413300
超凡蜘蛛侠2 / The Amazing Spider-Man 2,,tt1872181
X战警：逆转未来 / X-Men: Days of Future Past,,tt1877832
机械师 / The Mechanic,,tt0472399
发条橙 / A Clockwork Orange,,tt0066921
东北虎,,tt10097312
魔神英雄传 / 魔神英雄伝ワタル,,tt0462651
前程似锦的女孩 / Promising Young Woman,,tt9620292
阿基拉 / Akira,,tt0094625
回忆三部曲 / Memories,,tt0113799
攻壳机动队2：无罪 / 攻殻機動隊2 イノセンス,,tt0347246
新世纪福音战士剧场版：Air/真心为你 / 新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,,tt0169858
恶童 / 鉄コン筋クリート,,tt0831888
秒速5厘米 / 秒速5センチメートル,,tt0983213
穿越时空的少女 / 時をかける少女,,tt0808506
夏日大作战 / サマーウォーズ,,tt1474276
新·福音战士剧场版：终 / シン・エヴァンゲリオン劇場版:│▌,,tt2458948
新世纪福音战士剧场版：死与新生 / 新世紀エヴァンゲリオン劇場版 シト新生,,tt0169880
福音战士新剧场版：破 / ヱヴァンゲリヲン新劇場版：破,,tt0860906
福音战士新剧场版：序 / ヱヴァンゲリヲン新劇場版：序,,tt0923811
星际牛仔 天国之门 / カウボーイビバップ 天国の扉,,tt0275277
瞬息全宇宙 / Everything Everywhere All at Once,,tt6710474
一个小忙 / A Simple Favor,,tt7040874
盲山,,tt1020972
盲·道,,tt5662662
太极张三丰 / 太極張三豐,,tt0108281
学校风云 / 學校風雲,,tt0096472
龙虎风云 / 龍虎風雲,,tt0093435
和平饭店 / 和平飯店,,tt0113292
监狱风云2：逃犯 / 監獄風雲II逃犯,,tt0103044
超人 / Superman,,tt0078346
踏血寻梅 / 踏血尋梅,,tt4417522
教父2 / The Godfather: Part II,,tt0071562
疤面煞星 / Scarface,,tt0086250
神经侠侣 / 神經俠侶,,tt0441511
无名之辈,,tt9282616
唐伯虎点秋香 / 唐伯虎點秋香,,tt0108289
警察故事,,tt0089374
醉拳,,tt0080179
中南海保镖 / 中南海保鑣,,tt0111835
龙在天涯 / 龍在天涯,,tt0095542
鼠胆龙威 / 鼠膽龍威,,tt0114437
精武英雄,,tt0110200
黑侠 / 黑俠,,tt0115693
杀破狼 / 殺破狼,,tt0478024
给爸爸的信 / 給爸爸的信,,tt0113153
龙争虎斗 / Enter the Dragon,,tt0070034
死亡游戏 / Game of Death,,tt0077594
精武门 / 精武門,,tt0068767
猛龙过江 / 猛龍過江,,tt0068935
拳霸 / องค์บาก,,tt0368909
冬荫功 / ต้มยำกุ้ง,,tt0427954
黄河绝恋,,tt0229539
追忆迷局 / Reminiscence,,tt3272066
门徒 / 門徒,,tt0841150
最游记：给落选者的镇魂歌 / 幻想魔伝最遊記Requiem選ばれざるものへの鎮魂歌,,
最后的吸血鬼 / BLOOD THE LAST VAMPIRE,,tt0275230
憨豆先生 / Mr. Bean,,tt0096657
盲井,,tt0351299
壳中少女：排气 / マルドゥック・スクランブル 排気,,tt2423504
壳中少女：燃烧 / マルドゥック・スクランブル 燃焼,,tt2048804
壳中少女：压缩 / マルドゥック・スクランブル 圧縮,,tt1754177
文雀,,tt0491044
末日杀戮 / American Cyborg: Steel Warrior,,tt0109098
百变星君 / 百變星君,5,tt0112446
赌圣 / 賭聖,,tt0104147
九品芝麻官,5,tt0110201
赌侠 / 賭俠,,tt0101763
审死官 / 審死官,,tt0105385
整蛊专家 / 整蠱專家,,tt0103328
鹿鼎记 / 鹿鼎記,,tt0104770
国产凌凌漆 / 國產凌凌漆,5,tt0109962
逃学威龙 / 逃學威龍,,tt0103045
食神,5,tt0116426
少林足球,5,tt0286112
娑婆诃 / 사바하,,tt7299298
蜡笔小新：谜团！花之天下春日部学院 / 映画クレヨンしんちゃん 謎メキ！花の天カス学園,,tt13642590
孤狼之血 / 孤狼の血,,tt6622902
花束般的恋爱 / 花束みたいな恋をした,,tt11219254
战场上的快乐圣诞 / Merry Christmas Mr. Lawrence,,tt0085933
我们俩,,tt0757376
望夫成龙 / 望夫成龍,,tt0100902
霍元甲,,tt0446059
爱情神话,,tt16606348
第一滴血 / First Blood,,tt0083944
黑客帝国：矩阵重启 / The Matrix Resurrections,,tt10838180
Hello！树先生,,tt2043878
乌海,,tt10986342
大佛普拉斯,,tt7010412
屏住呼吸2 / Don't Breathe 2,,tt6246322
救猪行动 / Pig,4,tt11003218
阳光灿烂的日子,,tt0111786
第六感 / The Sixth Sense,,tt0167404
功夫,,tt0373074
剪刀手爱德华 / Edward Scissorhands,,tt0099487
加勒比海盗 / Pirates of the Caribbean: The Curse of the Black Pearl,,tt0325980
杀人回忆 / 살인의 추억,,tt0353969
致命ID / Identity,,tt0309698
被嫌弃的松子的一生 / 嫌われ松子の一生,,tt0768120
喜剧之王 / 喜劇之王,,tt0188766
七宗罪 / Se7en,,tt0114369
心灵捕手 / Good Will Hunting,,tt0119217
禁闭岛 / Shutter Island,,tt1130884
沉默的羔羊 / The Silence of the Lambs,,tt0102926
海豚湾 / The Cove,,tt1313104
西西里的美丽传说 / Malèna,,tt0213847
飞越疯人院 / One Flew Over the Cuckoo's Nest,,tt0073486
"两杆大烟枪 / Lock, Stock and Two Smoking Barrels",,tt0120735
本杰明·巴顿奇事 / The Curious Case of Benjamin Button,,tt0421715
绿皮书 / Green Book,,tt6966692
黑客帝国 / The Matrix,,tt0133093
死亡诗社 / Dead Poets Society,,tt0097165
闻香识女人 / Scent of a Woman,,tt0105323
怦然心动 / Flipped,,tt0817177
当幸福来敲门 / The Pursuit of Happyness,,tt0454921
盗梦空间 / Inception,,tt1375666
寄生虫 / 기생충,,tt6751668
小丑 / Joker,,tt7286456
隐形人 / The Invisible Man,,tt1051906
无声 / 소리도 없이,,tt10431572
半个喜剧,,tt11273332
我和我的家乡,,tt12363162
小人物 / Nobody,,tt7888964
信条 / Tenet,,tt6723592
隐秘的角落,,tt12477942
天使爱美丽 / Le Fabuleux destin d'Amélie Poulain,,tt0211915
太阳照常升起,,tt0769507
三峡好人,,tt0859765
地球最后的夜晚,,tt8185182
让他走 / Let Him Go,,tt9340860
大象席地而坐,,tt8020896
情书 / Love Letter,,tt0113703
我不是药神,,tt7362036
大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒,,tt0112778
鬼子来了,,tt0245929
玩命速递：重启之战 / The Transporter Refueled,,tt2938956
玩命快递3 / Transporter 3,,tt1129442
玩命快递2 / Transporter 2,,tt0388482
玩命快递 / The Transporter,,tt0293662
普罗米修斯 / Prometheus,,tt1446714
异形：契约 / Alien: Covenant,,tt2316204
异形4 / Alien: Resurrection,,tt0118583
异形3 / Alien³,,tt0103644
异形2 / Aliens,,tt0090605
万能钥匙 / The Skeleton Key,,tt0397101
电锯惊魂2 / Saw II,,tt0432348
生化危机 / Resident Evil,,tt0120804
闪灵 / The Shining,,tt0081505
后窗 / Rear Window,,tt0047396
惊魂记 / Psycho,,tt0054215
电锯惊魂 / Saw,,tt0387564
异形 / Alien,,tt0078748
哈利·波特与死亡圣器(下) / Harry Potter and the Deathly Hallows: Part 2,,tt1201607
哈利·波特与死亡圣器(上) / Harry Potter and the Deathly Hallows: Part 1,,tt0926084
哈利·波特与混血王子 / Harry Potter and the Half-Blood Prince,,tt0417741
哈利·波特与凤凰社 / Harry Potter and the Order of the Phoenix,,tt0373889
哈利·波特与火焰杯 / Harry Potter and the Goblet of Fire,,tt0330373
哈利·波特与阿兹卡班的囚徒 / Harry Potter and the Prisoner of Azkaban,,tt0304141
哈利·波特与密室 / Harry Potter and the Chamber of Secrets,,tt0295297
哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone,,tt0241527
何以为家 / كفرناحوم,,tt8267604
喜宴 / 囍宴,,tt0107156
爱·回家 / 집으로...,,tt0312841
摔跤吧！爸爸 / Dangal,,tt5074352
活着,,tt0110081
教父 / The Godfather,,tt0068646
无间道 / 無間道,,tt0338564
大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣,,tt0114996
三傻大闹宝莱坞 / 3 Idiots,,tt1187043
楚门的世界 / The Truman Show,,tt0120382
星际穿越 / Interstellar,,tt0816692
辛德勒的名单 / Schindler's List,,tt0108052
侧耳倾听 / 耳をすませば,,tt0113824
东京教父 / 東京ゴッドファーザーズ,,tt0388473
